,open,high,low,close,volume
1999-11-12,23.44,24.25,23.19,23.69,1804800
1999-11-19,24.06,24.13,23.25,23.5,1147800
1999-11-26,23.66,23.81,22.31,23.0,791500
1999-12-03,22.69,23.38,22.56,23.13,765300
1999-12-10,22.94,23.38,21.63,22.13,1211800
1999-12-17,22.56,23.38,21.56,21.63,1671500
1999-12-23,22.0,22.5,21.63,21.94,2154800
1999-12-31,21.91,23.0,21.38,22.81,713900
2000-01-07,22.78,22.78,20.5,21.5,933000
2000-01-14,21.81,22.13,20.88,21.81,491500
2000-01-21,21.75,22.13,21.13,21.69,549300
2000-01-28,21.38,22.31,19.63,21.19,1645600
2000-02-04,21.0,21.44,18.88,20.63,2473300
2000-02-11,20.63,20.75,19.69,20.0,1086500
2000-02-18,20.0,20.38,19.0,20.0,1162600
2000-02-25,19.88,20.38,19.56,19.94,983700
2000-03-03,19.81,20.5,19.56,20.06,985800
2000-03-10,20.5,20.63,18.5,18.5,2264000
2000-03-17,18.5,21.13,17.94,19.75,1625400
2000-03-24,19.56,20.88,19.56,20.31,912800
2000-03-31,20.16,20.88,19.38,20.63,1175500
2000-04-07,20.63,20.75,19.25,19.91,1523200
2000-04-14,19.91,20.56,19.63,19.75,879900
2000-04-20,19.63,22.0,19.5,21.0,1054700
2000-04-28,20.69,21.31,19.75,21.0,599000
2000-05-05,21.0,21.94,20.44,21.75,1169100
2000-05-12,21.5,22.75,20.56,22.56,760500
2000-05-19,22.5,23.25,22.0,22.0,803100
2000-05-26,22.06,23.5,21.0,23.13,675100
2000-06-02,23.31,24.0,23.06,23.94,778900
2000-06-09,23.63,24.63,23.38,23.5,508700
2000-06-16,23.38,24.13,23.06,23.13,1273100
2000-06-23,23.06,23.56,21.25,22.25,1283800
2000-06-30,22.0,23.69,21.75,22.06,1148400
2000-07-07,22.0,23.25,21.88,23.16,760400
2000-07-14,22.88,25.25,22.75,24.67,811400
2000-07-21,24.56,25.13,23.63,24.5,477200
2000-07-28,24.63,25.0,23.94,24.0,689200
2000-08-04,24.88,25.5,24.13,25.25,711800
2000-08-11,25.03,27.25,25.0,27.06,621400
2000-08-18,27.06,27.5,26.38,26.75,560300
2000-08-25,26.81,27.0,25.63,27.0,557200
2000-09-01,27.0,27.0,26.06,26.25,629600
2000-09-08,26.06,26.69,25.38,26.19,573400
2000-09-15,26.19,26.44,24.19,25.56,956200
2000-09-22,25.53,25.61,24.75,25.56,876800
2000-09-29,25.56,26.44,24.56,26.0,640800
2000-10-06,26.0,26.0,23.38,24.0,996900
2000-10-13,24.0,25.0,21.63,24.94,1074600
2000-10-20,24.63,25.56,23.63,25.31,769000
2000-10-27,25.25,25.38,24.25,25.0,671100
2000-11-03,24.38,27.13,24.38,27.0,762600
2000-11-10,27.13,27.13,24.19,24.25,522400
2000-11-17,24.31,27.25,24.13,27.25,900500
2000-11-24,26.5,27.69,25.81,27.69,608800
2000-12-01,28.0,28.0,25.88,27.0,931800
2000-12-08,27.13,28.25,26.5,27.44,1474300
2000-12-15,27.56,28.19,23.88,23.91,1809900
2000-12-22,24.19,26.13,23.56,26.02,1585400
2000-12-29,26.13,27.5,25.38,26.25,838200
2001-01-05,26.81,27.94,25.02,25.75,930200
2001-01-12,25.75,29.56,25.75,27.94,2695700
2001-01-19,27.06,29.61,24.5,27.69,978500
2001-01-26,28.0,28.75,25.8,27.56,1089200
2001-02-02,27.94,29.0,27.06,28.38,950400
2001-02-09,27.38,28.81,27.13,27.94,695200
2001-02-16,27.38,28.25,27.06,27.19,1202500
2001-02-23,27.25,27.94,25.88,26.13,516400
2001-03-02,25.94,26.98,24.38,24.5,1247900
2001-03-09,24.44,25.75,24.19,24.84,747300
2001-03-16,24.5,25.75,22.0,22.63,2080000
2001-03-23,22.69,23.88,21.38,21.94,1784900
2001-03-30,22.25,22.75,21.06,21.38,1973400
2001-04-06,21.69,22.25,20.7,20.81,1676700
2001-04-12,21.25,22.28,20.75,21.8,1397500
2001-04-20,21.8,22.35,21.3,22.09,3747400
2001-04-27,22.0,23.41,21.88,22.7,2420300
2001-05-04,22.64,23.19,20.87,21.64,2864100
2001-05-11,21.65,22.59,21.47,22.2,2197600
2001-05-18,22.66,24.41,22.26,24.11,1374200
2001-05-25,24.11,24.32,23.32,23.82,1394800
2001-06-01,23.94,23.98,23.06,23.51,822300
2001-06-08,23.54,24.61,23.45,24.1,1032800
2001-06-15,24.11,24.33,22.78,23.76,3745000
2001-06-22,23.61,24.79,23.55,23.8,1671300
2001-06-29,24.31,25.84,22.86,25.75,1423000
2001-07-06,25.8,25.8,24.55,24.68,470700
2001-07-13,24.55,25.01,23.65,24.91,1037300
2001-07-20,25.31,26.43,23.8,24.3,854600
2001-07-27,24.53,25.75,23.5,25.26,682600
2001-08-03,25.79,25.96,24.37,24.61,691300
2001-08-10,24.43,25.68,24.2,24.82,690300
2001-08-17,24.89,26.22,24.31,25.64,931800
2001-08-24,25.98,26.2,25.5,25.68,645300
2001-08-31,25.89,26.25,25.13,26.25,536400
2001-09-07,26.25,26.29,24.3,24.4,674600
2001-09-10,24.69,24.69,23.95,24.33,257500
2001-09-21,23.9,24.21,21.12,21.84,3021000
2001-09-28,22.1,23.46,21.45,23.41,1300300
2001-10-05,22.78,22.78,21.68,22.05,1217700
2001-10-12,22.0,23.22,21.7,23.01,943200
2001-10-19,22.99,24.09,21.6,22.64,941400
2001-10-26,22.5,22.87,21.66,22.23,1052900
2001-11-02,22.5,22.98,21.74,22.4,1014800
2001-11-09,22.49,23.35,22.16,23.0,715800
2001-11-16,23.2,24.4,22.9,23.74,943100
2001-11-23,24.17,24.17,23.11,23.69,740700
2001-11-30,23.69,24.63,23.35,24.05,1119300
2001-12-07,23.94,25.08,23.65,24.89,963000
2001-12-14,25.0,26.71,24.4,26.0,1423900
2001-12-21,25.97,26.92,24.5,26.73,1682200
2001-12-28,26.51,27.92,26.51,27.56,702800
2002-01-04,27.45,27.5,25.62,27.22,1038900
2002-01-11,27.5,27.57,25.69,25.69,977300
2002-01-18,25.68,26.84,24.89,25.62,2051700
2002-01-25,25.77,27.0,24.9,25.25,1274300
2002-02-01,25.4,25.98,24.59,24.6,2178600
2002-02-08,24.55,25.46,23.98,24.43,1409600
